number, RTT, Drift, t0, t1, t2, t3
1,0.316498995,-0.371415496,39:23.9,39:23.4,39:23.4,39:23.6
2,0.151678562,-0.452780724,39:34.1,39:33.6,39:33.6,39:33.9
3,0.20126462,-0.473022819,39:44.3,39:43.7,39:43.7,39:44.1
4,0.151875257,-0.44992125,39:54.4,39:53.9,39:53.9,39:54.3
5,0.152676821,-0.452272058,40:04.6,40:04.1,40:04.1,40:04.4
6,0.151582241,-0.452512503,40:14.8,40:14.2,40:14.2,40:14.6
7,0.148982763,-0.452022195,40:24.9,40:24.4,40:24.4,40:24.8
8,0.156009912,-0.453134656,40:35.1,40:34.5,40:34.5,40:34.9
9,0.161837816,-0.447583318,40:45.2,40:44.7,40:44.7,40:45.1
10,0.177166939,-0.442108631,40:55.4,40:54.9,40:54.9,40:55.2
11,0.154061079,-0.451402307,41:05.6,41:05.0,41:05.0,41:05.4
12,0.262011051,-0.504944801,41:15.8,41:15.2,41:15.2,41:15.6
13,0.043779373,-0.442073822,41:25.9,41:25.4,41:25.4,41:25.8
14,0.030348301,-0.456502199,41:35.9,41:35.4,41:35.4,41:35.9
15,0.023344278,-0.45176518,41:45.9,41:45.5,41:45.5,41:45.9
16,0.069875717,-0.474364996,41:56.0,41:55.5,41:55.5,41:55.9
17,0.022656202,-0.452528834,42:06.0,42:05.6,42:05.6,42:06.0
18,0.023992538,-0.451506138,42:16.1,42:15.6,42:15.6,42:16.0
19,0.140090466,-0.510761261,42:26.2,42:25.6,42:25.6,42:26.1
20,0.019536018,-0.451567173,42:36.2,42:35.8,42:35.8,42:36.2
21,0.021697521,-0.452900887,42:46.3,42:45.8,42:45.8,42:46.2
22,0.329730749,-0.594988227,42:56.6,42:55.8,42:55.8,42:56.3
23,0.03015089,-0.446324587,43:06.6,43:06.2,43:06.2,43:06.6
24,0.025300741,-0.454273343,43:16.6,43:16.2,43:16.2,43:16.6
25,0.02214551,-0.452445626,43:26.7,43:26.2,43:26.2,43:26.6
26,0.019403696,-0.45171082,43:36.7,43:36.2,43:36.2,43:36.7
27,0.021746874,-0.452557445,43:46.7,43:46.3,43:46.3,43:46.7
28,-0.131302357,-0.144780636,43:56.6,43:56.5,43:56.5,43:56.7
29,0.192073345,-0.021310091,44:06.8,44:06.7,44:06.7,44:06.6
30,0.154096127,-0.002237082,44:16.9,44:16.9,44:16.9,44:16.8
31,0.154642105,4.36E-05,44:27.1,44:27.0,44:27.0,44:26.9
32,0.392920256,-0.118172526,44:37.5,44:37.2,44:37.2,44:37.1
33,0.153960228,-0.003061056,44:47.6,44:47.6,44:47.6,44:47.5
34,0.342793465,-0.096323729,44:58.0,44:57.7,44:57.7,44:57.6
35,0.157200098,-0.000747085,45:08.2,45:08.1,45:08.1,45:08.0
36,0.163554907,-0.00572598,45:18.3,45:18.2,45:18.2,45:18.2
37,0.162491798,-0.003642321,45:28.5,45:28.4,45:28.4,45:28.3
38,0.149617195,-0.001424074,45:38.6,45:38.6,45:38.6,45:38.5
39,0.158280849,-0.000937462,45:48.8,45:48.7,45:48.7,45:48.6
40,0.15446353,-0.003260255,45:59.0,45:58.9,45:58.9,45:58.8
41,0.152434349,-0.003908634,46:09.1,46:09.0,46:09.0,46:09.0
42,0.155233622,-0.002382636,46:19.3,46:19.2,46:19.2,46:19.1
43,0.342195034,-0.055969238,46:29.6,46:29.4,46:29.4,46:29.3
44,0.173821211,0.004607558,46:39.8,46:39.7,46:39.7,46:39.6
45,0.40305233,-0.126346588,46:50.2,46:49.9,46:49.9,46:49.8
46,0.161839247,0.000470281,47:00.4,47:00.3,47:00.3,47:00.2
47,0.218229294,-0.035078287,47:10.6,47:10.4,47:10.4,47:10.4
48,0.167713642,0.003061771,47:20.8,47:20.7,47:20.7,47:20.6
49,0.168242216,0.001116395,47:30.9,47:30.8,47:30.8,47:30.8
50,0.156508446,-0.003114939,47:41.1,47:41.0,47:41.0,47:40.9
51,0.158852339,-0.004154325,47:51.2,47:51.2,47:51.2,47:51.1
52,0.158382416,-0.004362106,48:01.4,48:01.3,48:01.3,48:01.2
53timeout,,,,,,
54,0.164062023,-0.00012064,48:24.6,48:24.5,48:24.5,48:24.4
55,0.158214092,-0.002491236,48:34.7,48:34.7,48:34.7,48:34.6
56,0.156240463,-0.00372529,48:44.9,48:44.8,48:44.8,48:44.7
57,0.159688234,-0.004284739,48:55.1,48:55.0,48:55.0,48:54.9
58,0.336127043,0.085912347,49:05.4,49:05.3,49:05.3,49:05.1
59,0.159906864,-0.001853466,49:15.6,49:15.5,49:15.5,49:15.4
60,0.159255743,-0.001770377,49:25.7,49:25.6,49:25.6,49:25.6
61,0.24251008,-0.031155944,49:36.0,49:35.8,49:35.8,49:35.7
62,0.159035444,-0.002148509,49:46.1,49:46.1,49:46.1,49:46.0
63timeout,,,,,,
64,0.173686504,-0.009017706,50:09.3,50:09.2,50:09.2,50:09.2
65,0.157752037,-0.002636671,50:19.5,50:19.4,50:19.4,50:19.3
66,0.177040339,-0.001301169,50:29.7,50:29.6,50:29.6,50:29.5
67timeout,,,,,,
68,0.177406311,0.006411076,50:52.9,50:52.8,50:52.8,50:52.7
69,0.264980078,-0.057300925,51:03.1,51:02.9,51:02.9,51:02.9
70,0.162708282,-0.007930517,51:13.3,51:13.2,51:13.2,51:13.1
71,0.176492214,-0.003076315,51:23.5,51:23.4,51:23.4,51:23.3
72,0.166699648,-0.008364558,51:33.6,51:33.5,51:33.5,51:33.5
73,0.22137475,0.029888034,51:43.9,51:43.8,51:43.8,51:43.6
74,0.157311678,-0.004893184,51:54.0,51:53.9,51:53.9,51:53.9
75,0.44894433,-0.131008506,52:04.5,52:04.1,52:04.1,52:04.0
76,0.155755758,-0.0066396,52:14.6,52:14.5,52:14.5,52:14.5
77,0.156869888,-0.005256653,52:24.8,52:24.7,52:24.7,52:24.6
78,0.163062334,-0.000717759,52:35.0,52:34.9,52:34.9,52:34.8
79,0.155398846,-0.003691435,52:45.1,52:45.0,52:45.0,52:45.0
80,0.150193691,-0.005517483,52:55.3,52:55.2,52:55.2,52:55.1
81,0.160409451,-0.001742601,53:05.4,53:05.3,53:05.3,53:05.3
82,0.161216736,-0.000680208,53:15.6,53:15.5,53:15.5,53:15.4
83,0.169777393,-0.002797842,53:25.8,53:25.7,53:25.7,53:25.6
84,0.161670208,-0.001156092,53:35.9,53:35.9,53:35.9,53:35.8
85,0.299525023,-0.028301358,53:46.2,53:46.1,53:46.1,53:45.9
86,0.190547943,-0.015496969,53:56.4,53:56.3,53:56.3,53:56.2
87,0.733681679,-0.292608261,54:07.2,54:06.5,54:06.5,54:06.4
88,0.931407928,0.18289566,54:18.1,54:17.8,54:17.8,54:17.2
89,0.157761097,-0.00732255,54:28.3,54:28.2,54:28.2,54:28.1
90,0.174500942,-0.019389629,54:38.4,54:38.3,54:38.3,54:38.3
91,0.155745983,-0.008073807,54:48.6,54:48.5,54:48.5,54:48.4
92,0.157820702,-0.006680489,54:58.8,54:58.7,54:58.7,54:58.6
93,0.154520273,-0.006813169,55:08.9,55:08.8,55:08.8,55:08.8
94,0.157001257,-0.00831306,55:19.1,55:19.0,55:19.0,55:18.9
95,0.163116217,-0.007047772,55:29.2,55:29.2,55:29.2,55:29.1
96,0.180071592,3.61E-05,55:39.4,55:39.3,55:39.3,55:39.3
97,0.155765295,-0.008982301,55:49.6,55:49.5,55:49.5,55:49.4
98,0.192505598,-0.025017142,55:59.8,55:59.7,55:59.7,55:59.6
99,0.203242064,-0.021258473,56:10.0,56:09.9,56:09.9,56:09.8
100,0.163344383,-0.00523901,56:20.2,56:20.1,56:20.1,56:20.0
101,0.303355694,-0.0820086,56:30.5,56:30.2,56:30.2,56:30.2
102,0.159080029,-0.006083727,56:40.6,56:40.5,56:40.5,56:40.5
103,0.213698387,-0.020144939,56:50.8,56:50.7,56:50.7,56:50.6
104,0.1671381,-0.011990309,57:01.0,57:00.9,57:00.9,57:00.8
105,0.168543339,-0.011959314,57:11.2,57:11.1,57:11.1,57:11.0
106,0.182343483,-0.007341146,57:21.4,57:21.3,57:21.3,57:21.2
107,0.179033995,-0.007715106,57:31.6,57:31.5,57:31.5,57:31.4
108,0.166740179,-0.0127455,57:41.7,57:41.6,57:41.6,57:41.6
109,0.167818546,-0.012973785,57:51.9,57:51.8,57:51.8,57:51.7
110,0.366655827,-0.110628605,58:02.3,58:02.0,58:02.0,58:01.9
111,0.226285934,-0.04480195,58:12.5,58:12.3,58:12.3,58:12.3
112,0.177378416,-0.00759232,58:22.7,58:22.6,58:22.6,58:22.5
113,0.172994852,-0.009960771,58:32.9,58:32.8,58:32.8,58:32.7
114,0.179659843,-0.008116007,58:43.0,58:42.9,58:42.9,58:42.9
115,0.164744616,-0.014064431,58:53.2,58:53.1,58:53.1,58:53.0
116,0.167819023,-0.013125896,59:03.4,59:03.3,59:03.3,59:03.2
117,0.197412729,-0.027766109,59:13.6,59:13.5,59:13.5,59:13.4
118,0.177602053,-0.003765464,59:23.8,59:23.7,59:23.7,59:23.6
119,0.169213295,-0.007147074,59:33.9,59:33.8,59:33.8,59:33.8
120,0.165975094,-0.008091927,59:44.1,59:44.0,59:44.0,59:43.9
121,0.265257359,-0.063036442,59:54.4,59:54.2,59:54.2,59:54.1
122timeout,,,,,,
123,0.16219902,-0.013536453,00:17.5,00:17.4,00:17.4,00:17.4
124timeout,,,,,,
125,0.182548285,-0.004214644,00:40.7,00:40.6,00:40.6,00:40.5
126,0.161986828,-0.014449596,00:50.9,00:50.8,00:50.8,00:50.7
127timeout,,,,,,
128,0.260533571,-0.063111901,01:14.2,01:14.0,01:14.0,01:13.9
129,0.166128159,-0.015816927,01:24.3,01:24.2,01:24.2,01:24.2
130,0.163735628,-0.012058616,01:34.5,01:34.4,01:34.4,01:34.3
131,0.165510178,-0.012864828,01:44.7,01:44.6,01:44.6,01:44.5
132,0.168424129,-0.002722979,01:54.8,01:54.8,01:54.8,01:54.7
133,0.15241003,-0.013239622,02:05.0,02:04.9,02:04.9,02:04.8
134,0.17127347,-0.017382979,02:15.2,02:15.1,02:15.1,02:15.0
135,0.152677536,-0.010772228,02:25.3,02:25.2,02:25.2,02:25.2
136,0.154842615,-0.007420897,02:35.5,02:35.4,02:35.4,02:35.3
137,0.153785706,-0.011292934,02:45.6,02:45.5,02:45.5,02:45.5
138,0.154004097,-0.012989521,02:55.8,02:55.7,02:55.7,02:55.6
139,0.210711002,-0.039595842,03:06.0,03:05.9,03:05.9,03:05.8
140,0.218750954,-0.044102192,03:16.2,03:16.1,03:16.1,03:16.0
141,0.14730382,-0.011845708,03:26.4,03:26.3,03:26.3,03:26.2
142,0.297898293,-0.076397657,03:36.7,03:36.5,03:36.5,03:36.4
143,0.156567574,-0.01249218,03:46.8,03:46.7,03:46.7,03:46.7
144,0.155604124,-0.010745168,03:57.0,03:56.9,03:56.9,03:56.8
145,0.154355526,-0.012490034,04:07.2,04:07.1,04:07.1,04:07.0
146,0.157498837,-0.012706041,04:17.3,04:17.2,04:17.2,04:17.2
147,0.177417278,-0.002102613,04:27.5,04:27.4,04:27.4,04:27.3
148,0.15018177,-0.015994072,04:37.6,04:37.6,04:37.6,04:37.5
149,0.152320623,-0.014360547,04:47.8,04:47.7,04:47.7,04:47.6
150,0.157865286,-0.014469266,04:58.0,04:57.9,04:57.9,04:57.8
151,0.163937569,-0.014312506,05:08.1,05:08.0,05:08.0,05:08.0
152,0.149026394,-0.014304876,05:18.3,05:18.2,05:18.2,05:18.1
153,0.153064251,-0.014726162,05:28.4,05:28.4,05:28.4,05:28.3
154,0.174522638,-0.020113349,05:38.6,05:38.5,05:38.5,05:38.4
155,0.155687571,-0.01317513,05:48.8,05:48.7,05:48.7,05:48.6
156,0.154816628,-0.017065763,05:58.9,05:58.8,05:58.8,05:58.8
157,0.156197786,-0.013922095,06:09.1,06:09.0,06:09.0,06:08.9
158,0.159610987,-0.017278075,06:19.3,06:19.2,06:19.2,06:19.1
159,0.166749477,-0.011294842,06:29.4,06:29.3,06:29.3,06:29.3
160,0.161997795,-0.016125202,06:39.6,06:39.5,06:39.5,06:39.4
161,0.165248871,-0.012590885,06:49.8,06:49.7,06:49.7,06:49.6
162,0.17291379,-0.006116509,06:59.9,06:59.8,06:59.8,06:59.8
163,0.268308401,-0.070983768,07:10.2,07:10.0,07:10.0,07:09.9
164,0.172786951,-0.006906152,07:20.4,07:20.3,07:20.3,07:20.2
165,0.166190147,-0.010560036,07:30.6,07:30.5,07:30.5,07:30.4
166,0.158906221,-0.013965249,07:40.7,07:40.6,07:40.6,07:40.6
167,0.153286219,-0.017341495,07:50.9,07:50.8,07:50.8,07:50.7
168,0.240517378,-0.059672236,08:01.1,08:00.9,08:00.9,08:00.9
169,0.160147429,-0.013925433,08:11.3,08:11.2,08:11.2,08:11.1
170,0.151725531,-0.017965198,08:21.4,08:21.3,08:21.3,08:21.3
171,0.154652834,-0.017279983,08:31.6,08:31.5,08:31.5,08:31.4
172,0.167408228,-0.01025641,08:41.8,08:41.7,08:41.7,08:41.6
173,0.15481782,-0.017665505,08:51.9,08:51.8,08:51.8,08:51.8
174,0.1584692,-0.015159845,09:02.1,09:02.0,09:02.0,09:01.9
175,0.343202353,-0.099357486,09:12.4,09:12.2,09:12.2,09:12.1
176,0.153080225,-0.018316865,09:22.6,09:22.5,09:22.5,09:22.4
177,0.294565916,0.048680425,09:32.9,09:32.8,09:32.8,09:32.6
178,0.156780005,-0.018311858,09:43.0,09:42.9,09:42.9,09:42.9
179,0.156481981,-0.016994834,09:53.2,09:53.1,09:53.1,09:53.0
180,0.149568558,-0.017414808,10:03.4,10:03.3,10:03.3,10:03.2
181,0.290709496,-0.089329958,10:13.6,10:13.4,10:13.4,10:13.4
182,0.151087284,-0.019279242,10:23.8,10:23.7,10:23.7,10:23.7
183,0.164342642,-0.017940879,10:34.0,10:33.9,10:33.9,10:33.8
184,0.153625488,-0.021168232,10:44.1,10:44.0,10:44.0,10:44.0
185,0.148366451,-0.018557549,10:54.3,10:54.2,10:54.2,10:54.1
186,0.239403486,-0.05789578,11:04.5,11:04.3,11:04.3,11:04.3
187,0.158961773,-0.021941185,11:14.7,11:14.6,11:14.6,11:14.5
188,0.26377368,-0.06495297,11:24.9,11:24.8,11:24.8,11:24.7
189,0.148798943,-0.018808365,11:35.1,11:35.0,11:35.0,11:34.9
190,0.171664476,-0.015570521,11:45.3,11:45.2,11:45.2,11:45.1
191,0.157356024,-0.020035625,11:55.4,11:55.3,11:55.3,11:55.3
192,0.176515102,-0.013233662,12:05.6,12:05.5,12:05.5,12:05.4
193,0.158195734,-0.019390225,12:15.8,12:15.7,12:15.7,12:15.6
194,0.152314186,-0.020855427,12:25.9,12:25.8,12:25.8,12:25.8
195,0.170078993,-0.017471671,12:36.1,12:36.0,12:36.0,12:35.9
196,0.153815031,-0.023313403,12:46.3,12:46.2,12:46.2,12:46.1
197,0.379251003,-0.13549161,12:56.6,12:56.3,12:56.3,12:56.3
198,0.155916929,-0.019822955,13:06.8,13:06.7,13:06.7,13:06.7
199,0.321063757,-0.105117679,13:17.1,13:16.9,13:16.9,13:16.8
200,0.206039429,-0.049722195,13:27.3,13:27.2,13:27.2,13:27.1
201,0.158470154,-0.023120642,13:37.5,13:37.4,13:37.4,13:37.3
202,0.147285938,-0.021706581,13:47.7,13:47.6,13:47.6,13:47.5
203,0.156905413,-0.022670388,13:57.8,13:57.7,13:57.7,13:57.7
204,0.154145241,-0.023280859,14:08.0,14:07.9,14:07.9,14:07.8
205,0.157202005,-0.024943709,14:18.1,14:18.0,14:18.0,14:18.0
206,0.153262377,-0.025551677,14:28.3,14:28.2,14:28.2,14:28.1
207,0.187034607,-0.013782024,14:38.5,14:38.4,14:38.4,14:38.3
208,0.386116028,-0.130335569,14:48.9,14:48.5,14:48.5,14:48.5
209,0.164521456,-0.024756312,14:59.0,14:58.9,14:58.9,14:58.9
210,0.31530118,-0.103569865,15:09.3,15:09.1,15:09.1,15:09.0
211,0.300500393,0.011477709,15:19.7,15:19.5,15:19.5,15:19.4
212,0.161319017,-0.026131511,15:29.8,15:29.7,15:29.7,15:29.7
213,0.16740489,-0.023313403,15:40.0,15:39.9,15:39.9,15:39.8
214,0.157928705,-0.028314948,15:50.1,15:50.0,15:50.0,15:50.0
215,0.160587311,-0.027404785,16:00.3,16:00.2,16:00.2,16:00.2
216,0.246222734,-0.069553733,16:10.6,16:10.4,16:10.4,16:10.3
217,0.164566278,-0.028333068,16:20.7,16:20.6,16:20.6,16:20.6
218,0.161597013,-0.027173638,16:30.9,16:30.8,16:30.8,16:30.7
219,0.248959541,-0.071469784,16:41.1,16:41.0,16:41.0,16:40.9
220,0.161966562,-0.026895165,16:51.3,16:51.2,16:51.2,16:51.2
221,0.187315226,-0.040409923,17:01.5,17:01.4,17:01.4,17:01.3
222,0.188994646,-0.01361382,17:11.7,17:11.6,17:11.6,17:11.5
223,0.160136938,-0.028636098,17:21.9,17:21.8,17:21.8,17:21.7
224,0.241066933,-0.067786694,17:32.1,17:31.9,17:31.9,17:31.9
225,0.158759356,-0.029348254,17:42.3,17:42.2,17:42.2,17:42.1
226,0.15916276,-0.029356122,17:52.4,17:52.3,17:52.3,17:52.3
227,0.167126179,-0.025442362,18:02.6,18:02.5,18:02.5,18:02.4
228,0.162729502,-0.027799726,18:12.8,18:12.7,18:12.7,18:12.6
229,0.188709736,-0.014868498,18:23.0,18:22.8,18:22.8,18:22.8
230,0.158741236,-0.030517697,18:33.1,18:33.0,18:33.0,18:33.0
231,0.161096573,-0.02991581,18:43.3,18:43.2,18:43.2,18:43.1
232,0.230018616,-0.065542221,18:53.5,18:53.3,18:53.3,18:53.3
233,0.164050341,-0.027597308,19:03.7,19:03.6,19:03.6,19:03.5
234,0.163491249,-0.028281689,19:13.9,19:13.7,19:13.7,19:13.7
235,0.16091156,-0.03145647,19:24.0,19:23.9,19:23.9,19:23.9
236,0.159262657,-0.031344414,19:34.2,19:34.1,19:34.1,19:34.0
237,0.170989513,-0.029946804,19:44.4,19:44.2,19:44.2,19:44.2
238,0.273465157,-0.095147848,19:54.6,19:54.4,19:54.4,19:54.4
239,0.219205141,-0.069552541,20:04.9,20:04.7,20:04.7,20:04.6
240,0.152764559,-0.036073804,20:15.0,20:14.9,20:14.9,20:14.9
241,0.244293928,-0.072785974,20:25.3,20:25.1,20:25.1,20:25.0
242,0.163417816,-0.03325963,20:35.4,20:35.3,20:35.3,20:35.3
243,0.313009262,-0.118315935,20:45.7,20:45.5,20:45.5,20:45.4
244,0.157086134,-0.037980437,20:55.9,20:55.8,20:55.8,20:55.7
245,0.157520294,-0.039330721,21:06.1,21:05.9,21:05.9,21:05.9
246,0.161910295,-0.042485118,21:16.2,21:16.1,21:16.1,21:16.1
247,0.160284996,-0.039009571,21:26.4,21:26.3,21:26.3,21:26.2
248,0.157326937,-0.039908528,21:36.6,21:36.4,21:36.4,21:36.4
249,0.164433002,-0.034737349,21:46.7,21:46.6,21:46.6,21:46.6
250,0.240451574,-0.045040488,21:57.0,21:56.8,21:56.8,21:56.7
251,0.165225506,-0.037394762,22:07.1,22:07.0,22:07.0,22:07.0
252,0.326702356,-0.088819385,22:17.5,22:17.2,22:17.2,22:17.1
253,0.153286457,-0.030988932,22:27.6,22:27.5,22:27.5,22:27.5
254,0.158803225,-0.02968204,22:37.8,22:37.7,22:37.7,22:37.6
255,0.157487154,-0.026296735,22:47.9,22:47.8,22:47.8,22:47.8
256,0.166321278,-0.02641511,22:58.1,22:58.0,22:58.0,22:57.9
257,0.157553434,-0.029060245,23:08.3,23:08.2,23:08.2,23:08.1
258,0.168648958,-0.021449447,23:18.4,23:18.3,23:18.3,23:18.3
259,0.162725449,-0.026567221,23:28.6,23:28.5,23:28.5,23:28.4
260,0.154449701,-0.030538917,23:38.8,23:38.7,23:38.7,23:38.6
261,0.323264837,-0.111990333,23:49.1,23:48.8,23:48.8,23:48.8
262,0.152290344,-0.029996872,23:59.2,23:59.1,23:59.1,23:59.1
263,0.322706699,-0.10880971,24:09.6,24:09.3,24:09.3,24:09.2
264,0.158254385,-0.029722333,24:19.7,24:19.6,24:19.6,24:19.6
265,0.171574593,-0.022787571,24:29.9,24:29.8,24:29.8,24:29.7
266,0.158341885,-0.03036046,24:40.1,24:40.0,24:40.0,24:39.9
267,0.181098461,-0.013954878,24:50.2,24:50.1,24:50.1,24:50.1
268,0.149436951,-0.033019304,25:00.4,25:00.3,25:00.3,25:00.3
269,0.153254509,-0.031913519,25:10.6,25:10.4,25:10.4,25:10.4
270,0.150771379,-0.031322122,25:20.7,25:20.6,25:20.6,25:20.6
271timeout,,,,,,
272,0.164535999,-0.036456585,25:43.9,25:43.8,25:43.8,25:43.7
273,0.144526482,-0.030454874,25:54.0,25:53.9,25:53.9,25:53.9
274,0.146931171,-0.031985283,26:04.2,26:04.1,26:04.1,26:04.0
275,0.162268639,-0.038764477,26:14.3,26:14.2,26:14.2,26:14.2
276,0.146881104,-0.032353163,26:24.5,26:24.4,26:24.4,26:24.3
277,0.149647951,-0.029468894,26:34.6,26:34.5,26:34.5,26:34.5
278,0.149754047,-0.032586813,26:44.8,26:44.7,26:44.7,26:44.7
279,0.146024704,-0.031039715,26:55.0,26:54.9,26:54.9,26:54.8
280,0.205413818,-0.060893059,27:05.2,27:05.0,27:05.0,27:05.0
281,0.147680521,-0.033619285,27:15.3,27:15.2,27:15.2,27:15.2
282,0.312710285,-0.088903904,27:25.6,27:25.4,27:25.4,27:25.3
283,0.160037279,-0.029361367,27:35.8,27:35.7,27:35.7,27:35.6
284,0.158354282,-0.030189037,27:46.0,27:45.8,27:45.8,27:45.8
285,0.185454369,-0.016626358,27:56.1,27:56.0,27:56.0,27:56.0
286,0.155150414,-0.032533169,28:06.3,28:06.2,28:06.2,28:06.1
287,0.158489227,-0.030338764,28:16.5,28:16.4,28:16.4,28:16.3
288,0.163339376,-0.029209733,28:26.6,28:26.5,28:26.5,28:26.5
289,0.162617445,-0.030481219,28:36.8,28:36.7,28:36.7,28:36.6
290,0.157690287,-0.031515241,28:47.0,28:46.8,28:46.8,28:46.8
291,0.370226383,-0.137274981,28:57.3,28:57.0,28:57.0,28:57.0
292,0.154874325,-0.033755064,29:07.5,29:07.4,29:07.4,29:07.3
293,0.306669235,-0.109942913,29:17.8,29:17.5,29:17.5,29:17.5
294,0.153170347,-0.033781171,29:28.0,29:27.8,29:27.8,29:27.8
295,0.158112288,-0.03158915,29:38.1,29:38.0,29:38.0,29:38.0
296,0.167806149,-0.034609318,29:48.3,29:48.2,29:48.2,29:48.1
297,0.179280281,-0.026871681,29:58.5,29:58.4,29:58.4,29:58.3
298,0.169517994,-0.032951355,30:08.6,30:08.5,30:08.5,30:08.5
299,0.163188934,-0.033656836,30:18.8,30:18.7,30:18.7,30:18.6
300,0.160224199,-0.033720136,30:29.0,30:28.9,30:28.9,30:28.8
301,0.163938046,-0.029036522,30:39.1,30:39.0,30:39.0,30:39.0
302timeout,,,,,,
303,0.170500278,-0.02832818,31:02.3,31:02.2,31:02.2,31:02.1
304timeout,,,,,,
305,0.281935453,-0.09664166,31:25.6,31:25.4,31:25.4,31:25.3
306,0.164471865,-0.036221385,31:35.8,31:35.6,31:35.6,31:35.6
307,0.168892622,-0.032276034,31:45.9,31:45.8,31:45.8,31:45.8
308,0.160640478,-0.032211661,31:56.1,31:56.0,31:56.0,31:55.9
309,0.162382603,-0.033194304,32:06.3,32:06.2,32:06.2,32:06.1
310,0.162727118,-0.037911057,32:16.4,32:16.3,32:16.3,32:16.3
311,0.043962002,-0.026072979,32:26.5,32:26.4,32:26.4,32:26.4
312,0.020999908,-0.037724018,32:36.5,32:36.5,32:36.5,32:36.5
313,0.021397114,-0.035418749,32:46.5,32:46.5,32:46.5,32:46.5
314,0.025704861,-0.039735317,32:56.6,32:56.5,32:56.5,32:56.5
315,0.018866062,-0.03716135,33:06.6,33:06.5,33:06.5,33:06.6
316,0.031183243,-0.035291672,33:16.6,33:16.6,33:16.6,33:16.6
317,0.061685085,-0.042910337,33:26.7,33:26.6,33:26.6,33:26.6
318,0.033988714,-0.032242417,33:36.7,33:36.7,33:36.7,33:36.7
319,0.021687746,-0.038938642,33:46.7,33:46.7,33:46.7,33:46.7
320,0.048820734,-0.023056626,33:56.8,33:56.7,33:56.7,33:56.7
321,0.082524538,-0.060257316,34:06.9,34:06.8,34:06.8,34:06.8
322,0.020383358,-0.03765893,34:16.9,34:16.9,34:16.9,34:16.9
323,0.023512125,-0.038055062,34:26.9,34:26.9,34:26.9,34:26.9
324,0.021560431,-0.03684032,34:37.0,34:36.9,34:36.9,34:36.9
325,0.024761677,-0.035358191,34:47.0,34:46.9,34:46.9,34:47.0
326,0.472779274,0.116007566,34:57.5,34:57.3,34:57.3,34:57.0
327,0.158383369,-0.041704655,35:07.6,35:07.5,35:07.5,35:07.5
328,0.179736376,-0.052198768,35:17.8,35:17.7,35:17.7,35:17.6
329,0.156683683,-0.039733052,35:28.0,35:27.8,35:27.8,35:27.8
330,0.157690763,-0.041614652,35:38.1,35:38.0,35:38.0,35:38.0
331,0.195514917,-0.059714675,35:48.3,35:48.2,35:48.2,35:48.1
332,0.161577225,-0.040279865,35:58.5,35:58.4,35:58.4,35:58.3
